marca_monitorada,marca_colidente,classe_marca_monitorada,classe_marca_colidente,score,y,pred
SOLUÇÕES ADMINISTRADORA DE CONDOMÍNIOS,SOLUÇÕES S NALDI,35,40,0.82978994,0,1
VIRTUA COFFEE WORK,CONEXÃO VIRTUAL,35,35,0.8284509,0,1
PASTELÃO PAULISTA,Pastel da Mi,43,29,0.8279681,0,1
MERCADO DAS COISAS,MINAS MERCADO,35,43,0.82746977,0,1
CENTRAL ÁUDIO SOM E ACESSÓRIOS,CENTRA,37,42,0.826946,0,1
Virtua Coworking,.viralata,35,35,0.8269273,0,1
Multihype,Multifeme,8,41,0.826521,0,1
A S SANTOS SUPERMERCADO,SANTOSHA,35,43,0.8264299,0,1
MD SISTEMAS,Sistema Laser,42,42,0.82610464,0,1
ESPÍRITO SANTO CONSTRUÇÃO BRASIL,ESCOLA DO ESPÍRITO SANTO,41,41,0.82601243,0,1
HORTALÍCIA,Hortaliças BUGNO,43,39,0.8254879,0,1
MALU,MATIC,16,20,0.82502407,0,1
Polaris Energia Solar,POLARIX,42,21,0.82421786,0,1
SÓ PISO CACULÉ,Pisos+,35,27,0.8239582,0,1
NEO AGROAMBIENTAL,NEOID,42,35,0.8238557,0,1
MASTER SILVA SEGURANÇA ELETRÔNICA,MASTER SMART,37,37,0.82381666,0,1
INSTITUTO ROSANE CARDOSO,INSTITUTO CCV,41,41,0.82372665,0,1
UMTELECOM,OP TELECOM,42,35,0.8237152,0,1
CONSTRUTORA COLMEIA,COLMEIARIA,0,35,0.82304114,0,1
INSTITUTO ROSANE CARDOSO,INSTITUTO KRONA,41,41,0.82225114,0,1
MEDITERRÂNEO REDE DE POSTOS,MEDITERRANEUM,40,35,0.8213388,0,1
Virtua Coworking,VIREN,35,35,0.8208347,0,1
GRÁFICA PARCERIA,GRÁFICA BELLA,40,40,0.8207913,0,1
MISS NINA,NINA,35,21,0.82051957,0,1
RN RECIFE NOTÍCIAS,IN IRECÊ NOTÍCIAS,41,41,0.8201098,0,1
Agência - Assistência de Elite,Agência Oak,35,35,0.81989497,0,1
Plano do Gabarito,PLANO X,41,9,0.8193235,0,1
GFORCE,GFORCE,35,9,0.81929904,0,1
FF PONTES,HF,29,31,0.8188234,0,1
EMPÓRIO COCADAS OLIMPIO,EMPÓRIO DOM RUDÁ,35,35,0.8172631,0,1
Private Construction Incorporation,PRIVATE CONSTRUTORA,36,42,0.8172021,0,1
FIBRATTO MÓVEIS ARTESANAIS,FRATTO,35,29,0.8168944,0,1
MENTORIA EM GRANDES OPERAÇÕES,Mentoria Flash,41,41,0.8168477,0,1
Virtua Coworking,CONEXÃO VIRTUAL,35,35,0.81672853,0,1
Virtua Office Coworking Ideas,.VIRALATA,35,35,0.816373,0,1
GabrielBot,Gabriel Byte,42,35,0.81542975,0,1
EMPÓRIO ESTILO,CIA EMPÓRIO,35,35,0.81464666,0,1
BM AUTOPARTS,BM,35,42,0.81456953,0,1
MÉTODO 3T,Método PAP,41,41,0.8145303,0,1
Virtua Vet Coworking Veterinário,VIRX,35,42,0.81427974,0,1
ARCON CONSTRUTORA,ARC,37,36,0.814035,0,1
XES BRASIL,ZEZK,25,35,0.8136983,0,1
ISA,Isao,29,42,0.8132385,0,1
Nutris no Online,NUTRI+,35,30,0.81305546,0,1
HAPFARMA,FCE PHARMA,35,35,0.8129829,0,1
BOI E BRASA,Braza Box,43,39,0.81288534,0,1
SOLAR BANHO E PISCINA,SOLAR BEST,35,37,0.8124897,0,1
Nutris no Online,NUTRIE,35,35,0.8123828,0,1
STUDIO HYPE CONCEPT ARQUITETURA E ENGENHARIA,STUDIO PREGO,37,42,0.81226873,0,1
CASA CONCRETA,CONCRETECH,42,42,0.81196135,0,1
Bara,BÁRBARA,35,18,0.81166744,0,1
STOCK PISOS,STOCKFISH,42,35,0.8116163,0,1
G.O. CLINIC,Clini,44,42,0.8110244,0,1
ANAMAC,ANAMAI,35,14,0.80925494,0,1
AÇAÍ FOOD,AÇAÍ 24H,35,30,0.8092387,0,1
MÃOS QUE ENCANTAM,Encanto & Cor,35,35,0.8091478,0,1
GABRIELE,GABRIELA PAIVA,0,41,0.8089747,0,1
CENTRO EDUCACIONAL PEQUENINOS JÚNIOR,CENTRO EDUCACIONAL ELO,41,41,0.80889654,0,1
MOODZ COLLECTION,DOMI COLLECTION,25,35,0.8088414,0,1
IDEIA ULTRALED,ultra,20,35,0.808267,0,1
XPORTS EVENTOS,GL SPORTS,41,35,0.8079225,0,1
Virtua Office,VIRTUOSO,35,43,0.8068107,0,1
PRIME AUDIOVISUAL,PRIME PUB,41,43,0.8059676,0,1
ARCÁDIA,ArcadiA,44,41,0.8058923,0,1
HORTALÍCIA,PORTALE,43,43,0.805496,0,1
DELLA & DELLE,Padelle,35,14,0.8054178,0,1
ENGENHAR CONSULTORIA,EXER ENGENHARIA,42,42,0.80531085,0,1
ARQUISTUDIO arquitetura e urbanismo,Identidade Arquitetura e Urbanismo,42,42,0.8049953,0,1
VIRTUA COFFEE WORK,GUDY COFFEE,43,43,0.80490446,0,1
MULTIGRAN MÁRMORES & GRANITOS,MultigaES,35,37,0.80415857,0,1
QUEIROZ PARTICIPAÇÕES,Queiroz Express,35,21,0.80360305,0,1
NUTRI FIBER,nutrigo,31,30,0.80339986,0,1
.Simplifica Inglês,Casa Simplifica,35,35,0.8032377,0,1
VERBA,VERBA,9,39,0.8031282,0,1
NANA NENÉM,NENÉM NA NUVEM,35,20,0.8027863,0,1
CASA CONCRETA,CONCREJOTA,42,37,0.80244315,0,1
NEO SOLUÇÕES AMBIENTAIS & PROJETOS AGROPÉCUARIOS,NEOID,42,42,0.80215484,0,1
VAMO,VAMORA,36,10,0.8014545,0,1
ANDER SABORES,and wander,30,35,0.80145407,0,1
